team_abbr,team_name,team_id,team_nick,helmet_url,alt_logos,alt_wordmarks,,,,,,,,,,,alt_logos_2
ARI,Arizona Cardinals,3800,Cardinals,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/cardinals_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_cardinals_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/cardinals_alt_wordmark.png,,,,,,,,,,,
ATL,Atlanta Falcons,200,Falcons,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/falcons_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_falcons_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/falcons_alt_wordmark.png,,,,,,,,,,,
BAL,Baltimore Ravens,325,Ravens,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/ravens_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_ravens_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/ravens_alt_wordmark.png,,,,,,,,,,,
BUF,Buffalo Bills,610,Bills,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bills_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_bills_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/bills_alt_wordmark.png,,,,,,,,,,,
CAR,Carolina Panthers,750,Panthers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/panthers_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_panthers_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/panthers_alt_wordmark.png,,,,,,,,,,,
CHI,Chicago Bears,810,Bears,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bears_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_bears_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/bears_alt_wordmark.png,,,,,,,,,,,
CIN,Cincinnati Bengals,920,Bengals,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bengals_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_bengals_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/bengals_alt_wordmark.png,,,,,,,,,,,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_bengals_logo_2.png
CLE,Cleveland Browns,1050,Browns,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/browns_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_browns_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/browns_alt_wordmark.png,,,,,,,,,,,
DAL,Dallas Cowboys,1200,Cowboys,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/cowboys_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_cowboys_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/cowboys_alt_wordmark.png,,,,,,,,,,,
DEN,Denver Broncos,1400,Broncos,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/broncos_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_broncos_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/broncos_alt_wordmark.png,,,,,,,,,,,
