team_abbr,team_name,team_id,team_nick,helmet_url
ARI,Arizona Cardinals,3800,Cardinals,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/cardinals_helmet.png
ATL,Atlanta Falcons,200,Falcons,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/falcons_helmet.png
BAL,Baltimore Ravens,325,Ravens,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/ravens_helmet.png
BUF,Buffalo Bills,610,Bills,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bills_helmet.png
CAR,Carolina Panthers,750,Panthers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/panthers_helmet.png
CHI,Chicago Bears,810,Bears,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bears_helmet.png
CIN,Cincinnati Bengals,920,Bengals,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bengals_helmet.png
CLE,Cleveland Browns,1050,Browns,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/browns_helmet.png
DAL,Dallas Cowboys,1200,Cowboys,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/cowboys_helmet.png
DEN,Denver Broncos,1400,Broncos,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/broncos_helmet.png
DET,Detroit Lions,1540,Lions,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/lions_helmet.png
GB,Green Bay Packers,1800,Packers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/packers_helmet.png
HOU,Houston Texans,2120,Texans,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/texans_helmet.png
IND,Indianapolis Colts,2200,Colts,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/colts_helmet.png
JAX,Jacksonville Jaguars,2250,Jaguars,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/jaguars_helmet.png
KC,Kansas City Chiefs,2310,Chiefs,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/chiefs_helmet.png
LA,Los Angeles Rams,2510,Rams,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/rams_helmet.png
LAC,Los Angeles Chargers,4400,Chargers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/chargers_helmet.png
LV,Las Vegas Raiders,2520,Raiders,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/raiders_helmet.png
MIA,Miami Dolphins,2700,Dolphins,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/dolphins_helmet.png
MIN,Minnesota Vikings,3000,Vikings,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/vikings_helmet.png
NE,New England Patriots,3200,Patriots,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/patriots_helmet.png
NO,New Orleans Saints,3300,Saints,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/saints_helmet.png
NYG,New York Giants,3410,Giants,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/giants_helmet.png
NYJ,New York Jets,3430,Jets,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/jets_helmet.png
PHI,Philadelphia Eagles,3700,Eagles,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/eagles_helmet.png
PIT,Pittsburgh Steelers,3900,Steelers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/steelers_helmet.png
SEA,Seattle Seahawks,4600,Seahawks,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/seahawks_helmet.png
SF,San Francisco 49ers,4500,49ers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/49ers_helmet.png
TB,Tampa Bay Buccaneers,4900,Buccaneers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bucs_helmet.png
TEN,Tennessee Titans,2100,Titans,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/titans_helmet.png
WAS,Washington Commanders,5110,Commanders,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/commanders_helmet.png
